symbol,date,realized_variance,bar_count,realized_volatility,is_complete_session
AAPL,2026-03-24,1.504149526666387e-06,389,0.0012264377386016737,True
AAPL,2026-03-25,1.0224842532772819e-06,389,0.0010111796345245892,True
AAPL,2026-03-26,3.0380233968596674e-06,389,0.001742992655423329,True
AAPL,2026-03-27,3.438199482068371e-07,389,0.0005863616189748756,True
AAPL,2026-03-30,4.477871801028441e-06,389,0.0021160982493798443,True
AAPL,2026-03-31,9.499701936332028e-08,389,0.00030821586487934113,True
AAPL,2026-04-01,1.9792359107262127e-06,389,0.0014068531944471721,True
AAPL,2026-04-02,7.517576196254508e-07,389,0.0008670395721219711,True
AAPL,2026-04-03,5.751063739577793e-07,389,0.0007583576820721072,True
AAPL,2026-04-06,9.846466623650427e-08,389,0.00031379080011450985,True
CVX,2026-03-24,9.451518612965099e-10,389,3.0743322222826045e-05,True
CVX,2026-03-25,2.5881816960137556e-07,389,0.0005087417513841139,True
CVX,2026-03-26,1.222175249720149e-06,389,0.0011055203524676282,True
CVX,2026-03-27,6.437380917787685e-07,389,0.000802332905830721,True
CVX,2026-03-30,2.070227353831352e-06,389,0.0014388284657426513,True
CVX,2026-03-31,3.807228146119875e-07,389,0.0006170274018323558,True
CVX,2026-04-01,6.802769259472563e-08,389,0.0002608211889297448,True
CVX,2026-04-02,2.6538481773511244e-06,389,0.001629063589106062,True
CVX,2026-04-03,1.777138607066669e-06,389,0.0013330936227687344,True
CVX,2026-04-06,5.501456838100182e-07,389,0.0007417180622109847,True
JPM,2026-03-24,9.848813599608485e-07,389,0.0009924118902758313,True
JPM,2026-03-25,2.640063640168924e-07,389,0.0005138154960848227,True
JPM,2026-03-26,1.583860657952536e-06,389,0.0012585152593244692,True
JPM,2026-03-27,2.5847755708770365e-07,389,0.0005084068814322871,True
JPM,2026-03-30,2.1400117405921375e-06,389,0.0014628778966790555,True
JPM,2026-03-31,4.1190428461294796e-08,389,0.00020295425213898524,True
JPM,2026-04-01,1.3337328371042232e-06,389,0.0011548735156302716,True
JPM,2026-04-02,3.2858739903139056e-07,389,0.0005732254347387165,True
JPM,2026-04-03,2.993538505389544e-07,389,0.0005471323884938218,True
JPM,2026-04-06,4.7721071635439326e-08,389,0.00021845153154747925,True
MSFT,2026-03-24,1.2463360271052843e-06,389,0.0011163942077533743,True
MSFT,2026-03-25,1.0229853958586846e-06,389,0.0010114274051352793,True
MSFT,2026-03-26,2.002628325539815e-06,389,0.0014151425106821629,True
MSFT,2026-03-27,3.31615307328376e-07,389,0.0005758604929393716,True
MSFT,2026-03-30,3.2086134225491372e-06,389,0.0017912602888885628,True
MSFT,2026-03-31,1.724575677730297e-07,389,0.00041528010760573364,True
MSFT,2026-04-01,1.736566691355717e-06,389,0.0013177885609443258,True
MSFT,2026-04-02,7.359331244333496e-07,389,0.0008578654465785119,True
MSFT,2026-04-03,2.775118767524402e-07,389,0.0005267939604365641,True
MSFT,2026-04-06,1.3797382172537466e-07,389,0.0003714482759757739,True
NVDA,2026-03-24,1.6152724499982172e-06,389,0.0012709336922114454,True
NVDA,2026-03-25,2.8391752979358472e-06,389,0.001684985251548466,True
NVDA,2026-03-26,3.5068551221068747e-06,389,0.0018726599056173748,True
NVDA,2026-03-27,5.033952392194424e-07,389,0.0007095035160021707,True
NVDA,2026-03-30,5.889576675319272e-06,389,0.0024268450043872336,True
NVDA,2026-03-31,2.4494375960920346e-07,389,0.0004949179321960394,True
NVDA,2026-04-01,2.4467316293145314e-06,389,0.0015642031931032909,True
NVDA,2026-04-02,2.1050119469924665e-06,389,0.0014508659300543473,True
NVDA,2026-04-03,3.601979006540241e-07,389,0.0006001648945531754,True
NVDA,2026-04-06,2.0282597099083968e-07,389,0.0004503620443496984,True
XOM,2026-03-24,3.6681763530423605e-09,389,6.056547162403972e-05,True
XOM,2026-03-25,4.39161834485201e-07,389,0.0006626928658777013,True
XOM,2026-03-26,1.0583874229694493e-06,389,0.001028779579389798,True
XOM,2026-03-27,6.610576439991314e-07,389,0.0008130545147769191,True
XOM,2026-03-30,2.1938995373602497e-06,389,0.0014811818042901586,True
XOM,2026-03-31,6.840552196227293e-07,389,0.0008270763082223607,True
XOM,2026-04-01,4.934333613687779e-08,389,0.00022213359974771442,True
XOM,2026-04-02,3.4437655709364807e-06,389,0.0018557385513418858,True
XOM,2026-04-03,1.6712602803326725e-06,389,0.0012927723234710251,True
XOM,2026-04-06,4.994470121055002e-07,389,0.0007067156515215297,True
